competition_id,vocabulary_id,structural,semantic,operational,dependency,information,historical,A_used,A_required,D,O,L,hidden_reintroduction,comparison_to_far,decision,reason
AVC-001,AV-001,Pass,Pass,Pass,Pass,Pass,Pass,5,5,0,5,34,absent,control,admissible-control,"Direct FAR control mapping preserves the frozen CRE-001 commitments."
AVC-001,AV-002,Pass,Partial,Pass,Pass,Partial,Pass,4,4,2,5,36,present,inadmissible,not-admissible,"Binding bearer and meaning prevents independent reinterpretation; separating them recreates Representation and Interpretation."
AVC-001,AV-003,Pass,Pass,Partial,Pass,Pass,Pass,4,4,2,5,37,present,inadmissible,not-admissible,"A unified Directive cannot vary objective and governing rules independently without hidden fields reconstructing Investigation and Calculus."
AVC-001,AV-004,Pass,Partial,Pass,Pass,Partial,Pass,3,3,5,5,42,unknown,tradeoff,unresolved,"Graph objects and transformations encode the execution, but semantic denotation and investigation-relative assessment require additional commitments not fixed by the vocabulary."
AVC-001,AV-005,Pass,Unknown,Pass,Pass,Pass,Pass,3,3,3,5,31,absent,tradeoff,unresolved,"The operational trace is compactly preserved, but the benchmark alone cannot determine whether state variables possess the intended semantic interpretation."
AVC-001,AV-006,Pass,Unknown,Pass,Pass,Partial,Pass,3,3,6,5,48,unknown,pareto-inferior,unresolved,"The categorical encoding preserves composition but requires substantial derived typing and does not independently settle semantic content."
AVC-001,AV-007,Partial,Partial,Pass,Partial,Pass,Pass,3,3,7,5,51,unknown,pareto-inferior,not-admissible,"Channel state can simulate execution, but structural and dependency commitments are only indirectly reconstructed and semantic decoding is incomplete."
AVC-001,AV-008,Partial,Pass,Partial,Partial,Pass,Pass,3,3,6,5,46,unknown,pareto-inferior,not-admissible,"Commitments preserve interpreted status, but explicit rule activation, transition admissibility, and structural organization require extra machinery."
AVC-001,AV-009,Pass,Partial,Pass,Pass,Pass,Pass,3,3,4,5,39,unknown,tradeoff,unresolved,"Events, fluents, and constraints preserve the trace and rule change, but semantic assignment remains underdetermined by the vocabulary."
AVC-001,AV-010,Pass,Partial,Pass,Pass,Partial,Pass,3,3,5,5,41,unknown,tradeoff,unresolved,"Typed graph rewrites preserve organization and operation, but meaning and information-preservation claims depend on undeclared attribute semantics."
