vocabulary_id,mapping_id,structural,semantic,operational,dependency,information,historical,A_used,A_required,D,O,L,hidden_reintroduction,all_cases_all_pass
AV-001,M1,Pass,Pass,Pass,Pass,Pass,Pass,5,5,0,8,58,absent,yes
AV-001,M2,Pass,Pass,Pass,Pass,Pass,Pass,5,5,1,8,60,absent,yes
AV-001,M3,Pass,Pass,Pass,Pass,Pass,Pass,5,5,2,8,62,absent,yes
AV-002,M1,Partial,Partial,Pass,Pass,Partial,Pass,4,4,4,8,64,present,no
AV-002,M2,Partial,Partial,Pass,Pass,Partial,Pass,4,4,5,8,66,present,no
AV-002,M3,Partial,Partial,Pass,Pass,Partial,Pass,4,4,6,8,68,present,no
AV-003,M1,Pass,Pass,Partial,Pass,Pass,Pass,4,4,4,8,66,present,no
AV-003,M2,Pass,Pass,Partial,Pass,Pass,Pass,4,4,5,8,68,present,no
AV-003,M3,Pass,Pass,Partial,Pass,Pass,Pass,4,4,6,8,70,present,no
AV-004,M1,Pass,Partial,Pass,Pass,Partial,Pass,3,3,8,8,72,unknown,no
AV-004,M2,Pass,Unknown,Pass,Pass,Partial,Pass,3,3,9,8,74,unknown,no
AV-004,M3,Pass,Partial,Pass,Pass,Unknown,Pass,3,3,10,8,76,unknown,no
AV-005,M1,Partial,Partial,Pass,Pass,Partial,Pass,3,3,6,8,61,unknown,no
AV-005,M2,Partial,Unknown,Pass,Pass,Partial,Pass,3,3,7,8,63,unknown,no
AV-005,M3,Partial,Partial,Pass,Pass,Unknown,Pass,3,3,8,8,65,unknown,no
AV-006,M1,Pass,Unknown,Pass,Pass,Partial,Pass,3,3,10,8,86,unknown,no
AV-006,M2,Pass,Unknown,Pass,Pass,Partial,Pass,3,3,11,8,88,unknown,no
AV-006,M3,Pass,Unknown,Pass,Pass,Unknown,Pass,3,3,12,8,90,unknown,no
AV-007,M1,Partial,Partial,Pass,Partial,Pass,Pass,3,3,11,8,91,unknown,no
AV-007,M2,Partial,Partial,Pass,Partial,Pass,Pass,3,3,12,8,93,unknown,no
AV-007,M3,Partial,Partial,Pass,Partial,Pass,Pass,3,3,13,8,95,unknown,no
AV-008,M1,Partial,Pass,Partial,Partial,Pass,Pass,3,3,9,8,80,unknown,no
AV-008,M2,Partial,Pass,Partial,Partial,Pass,Pass,3,3,10,8,82,unknown,no
AV-008,M3,Partial,Pass,Partial,Partial,Pass,Pass,3,3,11,8,84,unknown,no
AV-009,M1,Pass,Partial,Pass,Pass,Pass,Pass,3,3,7,8,69,unknown,no
AV-009,M2,Pass,Unknown,Pass,Pass,Pass,Pass,3,3,8,8,71,unknown,no
AV-009,M3,Pass,Partial,Pass,Pass,Pass,Pass,3,3,9,8,73,unknown,no
AV-010,M1,Pass,Partial,Pass,Pass,Partial,Pass,3,3,8,8,74,unknown,no
AV-010,M2,Pass,Unknown,Pass,Pass,Partial,Pass,3,3,9,8,76,unknown,no
AV-010,M3,Pass,Partial,Pass,Pass,Unknown,Pass,3,3,10,8,78,unknown,no
